comparison,comparison_code,outcome,G1,G2,G3,G4
Scratch Full over Scratch Limited,full_over_limited,Positive RMSE households (%),92.19858156028369,95.38461538461539,97.53086419753086,96.40287769784173
Scratch Full over Scratch Limited,full_over_limited,sMAPE Gain (pp),1.2418957154545593,2.1450230706803786,2.3124731245870196,2.36865061423281
Scratch Full over Scratch Limited,full_over_limited,Positive sMAPE households (%),58.86524822695035,69.53846153846153,73.14814814814815,69.7841726618705
Direct Transfer over Scratch Full,direct_over_full,MAE Gain (kWh),-0.002012786635046709,-0.0016549391936103634,-0.0016311194105680033,0.0032207407945708355
Direct Transfer over Scratch Full,direct_over_full,Relative MAE Gain (%),-1.2703492003959036,-0.810999484399642,-0.4290550444604701,0.3991396716883886
Direct Transfer over Scratch Full,direct_over_full,Positive MAE households (%),48.93617021276596,52.92307692307693,50.308641975308646,61.87050359712231
Direct Transfer over Scratch Full,direct_over_full,RMSE Gain (kWh),-0.010196446063626968,-0.013806032281658259,-0.014649868267800374,-0.023770874646611016
Direct Transfer over Scratch Full,direct_over_full,Positive RMSE households (%),26.24113475177305,16.0,19.1358024691358,29.496402877697843
Direct Transfer over Scratch Full,direct_over_full,sMAPE Gain (pp),-1.5140051264788328,-1.579113399109601,-1.135679780157292,0.10159937893259098
Direct Transfer over Scratch Full,direct_over_full,Positive sMAPE households (%),29.78723404255319,37.53846153846154,36.41975308641975,59.71223021582733
Fine Tuning over Scratch Limited,fine_tuning_over_limited,MAE Gain (kWh),-0.006443719162493011,0.0007560872265568618,0.0035231306057649345,0.01189437281897403
Fine Tuning over Scratch Limited,fine_tuning_over_limited,Relative MAE Gain (%),-3.8803643850990155,-1.2594895265615458,-0.007461960375930548,2.291510255811713
Fine Tuning over Scratch Limited,fine_tuning_over_limited,Positive MAE households (%),28.368794326241137,45.230769230769226,50.0,59.71223021582733
Fine Tuning over Scratch Limited,fine_tuning_over_limited,RMSE Gain (kWh),0.022466646019974758,0.03358887004631507,0.03388109971482816,0.036016919309910064
Fine Tuning over Scratch Limited,fine_tuning_over_limited,Positive RMSE households (%),89.36170212765957,90.76923076923077,94.44444444444444,93.5251798561151
Fine Tuning over Scratch Limited,fine_tuning_over_limited,sMAPE Gain (pp),-4.076227809448368,-2.6425888776682824,-2.3086955894627232,-0.3951933076021672
Fine Tuning over Scratch Limited,fine_tuning_over_limited,Positive sMAPE households (%),18.439716312056735,28.923076923076923,30.555555555555557,46.043165467625904
Scratch Full over Fine Tuning,full_over_fine_tuning,MAE Gain (kWh),0.01660939887956589,0.016208192627380637,0.01647687003908698,0.009581874044817484
Scratch Full over Fine Tuning,full_over_fine_tuning,Relative MAE Gain (%),5.221900867496515,4.305658887067944,4.431048015396874,2.690106524566311
Scratch Full over Fine Tuning,full_over_fine_tuning,Positive MAE households (%),77.30496453900709,76.0,78.70370370370371,63.30935251798561
Scratch Full over Fine Tuning,full_over_fine_tuning,RMSE Gain (kWh),0.011960520238297703,0.01450332746127376,0.017448169969152938,0.026519590075401174
Scratch Full over Fine Tuning,full_over_fine_tuning,Positive RMSE households (%),76.59574468085107,86.15384615384616,88.58024691358025,76.97841726618705
Scratch Full over Fine Tuning,full_over_fine_tuning,sMAPE Gain (pp),5.318123524902928,4.787611948348661,4.621168714049743,2.763843921834977
Scratch Full over Fine Tuning,full_over_fine_tuning,Positive sMAPE households (%),87.2340425531915,89.53846153846153,87.03703703703704,74.10071942446042
