k,seed,run_scope,reference_seed,cluster_id_aligned_to_reference,local_slot,prototype_zscore,fit_eligible_n,all_assigned_n,profile_group,local_time
4,71,focused,42,3,35,-0.2995151302587489,1167,1181,3,17:00
4,71,focused,42,3,36,-0.1726115810575279,1167,1181,3,17:30
4,71,focused,42,3,37,-0.200729923630869,1167,1181,3,18:00
4,71,focused,42,3,38,-0.0622598699666066,1167,1181,3,18:30
4,71,focused,42,3,39,0.139901462595956,1167,1181,3,19:00
4,71,focused,42,3,40,0.4177711326253084,1167,1181,3,19:30
4,71,focused,42,3,41,0.9012962734267288,1167,1181,3,20:00
4,71,focused,42,3,42,1.6045867992060217,1167,1181,3,20:30
4,71,focused,42,3,43,2.7079426553915,1167,1181,3,21:00
4,71,focused,42,3,44,1.831028750305495,1167,1181,3,21:30
4,71,focused,42,3,45,1.2803371599579911,1167,1181,3,22:00
4,71,focused,42,3,46,0.7986275661768186,1167,1181,3,22:30
4,71,focused,42,3,47,0.3894318085701208,1167,1181,3,23:00
4,71,focused,42,3,48,-0.1454257864746327,1167,1181,3,23:30
4,71,focused,42,4,1,1.001264282279762,1125,1146,4,00:00
4,71,focused,42,4,2,0.3501801274555149,1125,1146,4,00:30
4,71,focused,42,4,3,-0.0204398767239396,1125,1146,4,01:00
4,71,focused,42,4,4,-0.465679218104279,1125,1146,4,01:30
4,71,focused,42,4,5,-0.7605346942589726,1125,1146,4,02:00
4,71,focused,42,4,6,-0.9504956668494968,1125,1146,4,02:30
4,71,focused,42,4,7,-1.0344334560322574,1125,1146,4,03:00
4,71,focused,42,4,8,-1.0284633370528866,1125,1146,4,03:30
4,71,focused,42,4,9,-1.0269828037612874,1125,1146,4,04:00
4,71,focused,42,4,10,-1.029623097119703,1125,1146,4,04:30
4,71,focused,42,4,11,-1.0102929023480125,1125,1146,4,05:00
4,71,focused,42,4,12,-1.1059242717243083,1125,1146,4,05:30
4,71,focused,42,4,13,-1.2602543237006771,1125,1146,4,06:00
4,71,focused,42,4,14,-1.4998450638347212,1125,1146,4,06:30
4,71,focused,42,4,15,-1.2296947401957308,1125,1146,4,07:00
4,71,focused,42,4,16,-1.0490267793339254,1125,1146,4,07:30
4,71,focused,42,4,17,-0.821662521789241,1125,1146,4,08:00
4,71,focused,42,4,18,-0.5079537910898216,1125,1146,4,08:30
4,71,focused,42,4,19,-0.099288935825574,1125,1146,4,09:00
4,71,focused,42,4,20,0.5980889058517979,1125,1146,4,09:30
4,71,focused,42,4,21,0.1000512569318732,1125,1146,4,10:00
4,71,focused,42,4,22,-0.1695084315242671,1125,1146,4,10:30
4,71,focused,42,4,23,-0.1111038444759272,1125,1146,4,11:00
4,71,focused,42,4,24,-0.0841444905225088,1125,1146,4,11:30
4,71,focused,42,4,25,-0.2203645184010034,1125,1146,4,12:00
4,71,focused,42,4,26,-0.568376860249819,1125,1146,4,12:30
4,71,focused,42,4,27,-0.2399279810551788,1125,1146,4,13:00
4,71,focused,42,4,28,-0.0290367289914859,1125,1146,4,13:30
4,71,focused,42,4,29,-0.0868716075767164,1125,1146,4,14:00
4,71,focused,42,4,30,-0.0812347151755835,1125,1146,4,14:30
4,71,focused,42,4,31,-0.0829983484965111,1125,1146,4,15:00
4,71,focused,42,4,32,-0.1016023632693521,1125,1146,4,15:30
4,71,focused,42,4,33,-0.0993529004215388,1125,1146,4,16:00
4,71,focused,42,4,34,-0.0370084231371597,1125,1146,4,16:30
4,71,focused,42,4,35,0.2553169201942262,1125,1146,4,17:00
4,71,focused,42,4,36,0.6764943585848863,1125,1146,4,17:30
4,71,focused,42,4,37,0.4631744928991528,1125,1146,4,18:00
4,71,focused,42,4,38,0.5549954696662649,1125,1146,4,18:30
4,71,focused,42,4,39,0.550271443516092,1125,1146,4,19:00
4,71,focused,42,4,40,0.5538069987446587,1125,1146,4,19:30
4,71,focused,42,4,41,0.534940930932212,1125,1146,4,20:00
4,71,focused,42,4,42,0.7878755470016933,1125,1146,4,20:30
4,71,focused,42,4,43,1.092901269004929,1125,1146,4,21:00
4,71,focused,42,4,44,1.4291724664677126,1125,1146,4,21:30
4,71,focused,42,4,45,1.9838824606535048,1125,1146,4,22:00
4,71,focused,42,4,46,1.6523231351121384,1125,1146,4,22:30
4,71,focused,42,4,47,1.524050156447471,1125,1146,4,23:00
4,71,focused,42,4,48,1.095847854541104,1125,1146,4,23:30
